OrderID,Date,ProductID,CustomerID,Region,SalesAmount,Quantity,Cost
1157,2024-10-31,P105,C640,West,30028,1,22381
1158,2024-09-01,P105,C626,South,148788,5,109031
1159,2024-02-12,P102,C685,North,46656,3,36278
1160,2025-05-27,P103,C223,East,98591,4,73434
1161,2024-07-15,P103,C606,South,25900,1,22039
1162,2025-04-25,P105,C222,East,120326,4,90483
1163,2025-10-08,P102,C426,West,44584,3,33637
1164,2024-02-11,P101,C355,South,56198,1,47151
1165,2025-05-19,P104,C649,South,59569,5,46756
1166,2024-03-01,P102,C345,West,76286,5,59222
1167,2024-01-19,P105,C525,West,58832,2,45182
1168,2024-07-07,P104,C528,West,37021,3,31126
1169,2025-12-17,P105,C301,East,60974,2,53492
1170,2024-07-22,P104,C663,South,12307,1,10255
1171,2025-07-21,P104,C490,South,24285,2,18253
1172,2025-01-18,P101,C672,East,111402,2,97501
1173,2024-07-31,P102,C293,North,59752,4,46651
1174,2025-07-17,P101,C305,South,219257,4,166349
1175,2025-01-25,P101,C367,East,53329,1,38425
1176,2025-11-26,P103,C497,East,126325,5,102802
1177,2025-06-30,P104,C372,North,47488,4,35853
1178,2025-06-27,P104,C616,East,47330,4,35135
1179,2024-11-23,P105,C236,South,121133,4,92499
1180,2024-04-19,P105,C376,North,59633,2,52255
1181,2024-07-27,P104,C440,North,49990,4,37949
1182,2025-01-18,P103,C324,East,99025,4,85620
1183,2025-03-01,P101,C446,South,111996,2,81665
1184,2025-08-22,P102,C371,South,75081,5,61353
1185,2024-03-17,P101,C530,West,55615,1,41981
1186,2025-02-07,P101,C427,North,163096,3,144360
1187,2025-10-25,P102,C469,East,45382,3,33554
1188,2025-03-10,P103,C558,North,126412,5,107113
1189,2024-05-04,P102,C264,South,61148,4,48082
1190,2024-10-04,P103,C542,East,126103,5,103567
1191,2025-12-18,P102,C298,East,75686,5,63465
1192,2024-06-17,P102,C229,West,59875,4,43008
1193,2025-05-25,P101,C599,North,108466,2,84178
1194,2024-02-15,P105,C451,North,31490,1,25677
1195,2024-11-07,P101,C660,South,54976,1,38730
1196,2025-12-06,P101,C404,North,163269,3,122256
1197,2025-12-06,P104,C692,South,47974,4,38942
1198,2025-05-23,P102,C359,East,74995,5,62641
1199,2025-02-19,P105,C290,East,121336,4,86565
1200,2024-02-17,P102,C271,East,45855,3,33938
1201,2024-12-29,P105,C683,East,118872,4,88635
1202,2025-02-27,P104,C410,West,12705,1,11004
1203,2024-04-24,P102,C391,South,43676,3,37749
1204,2024-09-15,P105,C231,West,89970,3,71916
1205,2025-06-29,P102,C286,South,60516,4,43402
1206,2025-06-17,P101,C224,South,220221,4,172106
1207,2024-08-12,P101,C312,South,220791,4,171481
1208,2024-07-20,P101,C402,North,220442,4,168382
1209,2025-06-16,P104,C379,West,13094,1,11719
1210,2024-03-06,P103,C578,East,100266,4,86564
1211,2024-08-26,P101,C560,West,108456,2,80224
1212,2024-05-25,P102,C572,West,60220,4,44281
1213,2025-04-09,P101,C290,West,55256,1,42530
1214,2025-07-26,P102,C454,West,14592,1,13114
1215,2024-04-29,P103,C487,North,75471,3,65243
1216,2024-09-20,P102,C340,South,76700,5,64076
1217,2024-07-08,P104,C409,West,25743,2,22007
1218,2024-12-20,P105,C454,East,150229,5,113795
1219,2024-09-21,P103,C563,North,73914,3,55989
1220,2024-04-13,P101,C355,North,53133,1,38133
1221,2025-11-26,P102,C317,South,13972,1,10569
1222,2024-12-10,P104,C685,West,12958,1,10438
1223,2024-12-25,P104,C682,West,12348,1,8832
1224,2025-05-11,P104,C630,West,37750,3,27961
1225,2025-07-17,P104,C584,East,58760,5,52817
1226,2025-10-27,P105,C440,North,61905,2,55152
1227,2024-09-23,P103,C277,West,123692,5,109346
1228,2024-09-19,P101,C641,North,111481,2,87980
1229,2025-08-24,P103,C239,South,75142,3,62729
1230,2024-01-23,P105,C659,North,30930,1,27816
1231,2024-08-06,P104,C469,West,25151,2,19009
1232,2025-11-06,P104,C418,South,37757,3,28826
1233,2024-10-22,P101,C317,East,273168,5,207401
1234,2025-12-20,P102,C271,North,73244,5,53130
1235,2025-05-27,P103,C472,North,101961,4,81599
1236,2024-07-26,P102,C241,North,28319,2,21126
1237,2024-10-02,P103,C261,West,48723,2,43427
1238,2025-11-12,P102,C363,North,45399,3,36047
1239,2024-05-14,P102,C602,South,46470,3,38325
1240,2025-03-07,P103,C628,West,100916,4,90815
1241,2025-01-19,P101,C454,South,54991,1,44139
1242,2024-01-02,P103,C577,East,48000,2,40757
1243,2025-11-09,P103,C242,North,126295,5,91074
1244,2025-10-02,P105,C420,East,118531,4,89392
1245,2025-12-24,P104,C373,North,46471,4,39479
1246,2024-03-19,P105,C529,South,59829,2,49489
1247,2024-12-04,P101,C692,South,53725,1,47348
1248,2024-08-10,P101,C481,North,109258,2,83217
1249,2025-02-20,P103,C539,South,98446,4,76354
1250,2024-09-16,P104,C370,West,61194,5,53841
1251,2025-04-07,P102,C645,East,75166,5,55664
1252,2024-12-07,P105,C563,West,58126,2,51135
1253,2024-07-31,P104,C346,West,13977,1,12149
1254,2025-05-31,P101,C423,East,54582,1,39617
1255,2025-12-25,P104,C205,West,35296,3,29571
1256,2025-07-14,P105,C376,South,149017,5,128229
1257,2025-09-24,P104,C273,North,10874,1,9457
1258,2024-05-12,P102,C425,South,44610,3,31817
1259,2024-05-21,P105,C216,South,61356,2,43030
1260,2025-09-13,P105,C220,East,58636,2,51201
1261,2025-06-16,P101,C349,South,165203,3,131099
1262,2025-08-05,P102,C658,West,74158,5,63898
1263,2025-09-02,P102,C353,East,30407,2,24295
1264,2024-07-05,P101,C269,North,276790,5,224043
1265,2024-04-10,P102,C691,South,59971,4,50640
1266,2024-03-04,P103,C529,South,126686,5,99875
1267,2024-08-11,P101,C666,South,220899,4,161256
1268,2024-02-07,P101,C375,West,221851,4,176621
1269,2024-08-01,P101,C409,North,273560,5,209444
1270,2025-10-30,P103,C422,West,50370,2,39644
1271,2025-09-03,P103,C527,East,26886,1,22537
1272,2025-04-13,P103,C534,East,126237,5,92564
1273,2025-07-23,P103,C635,South,125723,5,102871
1274,2024-07-14,P105,C441,South,88827,3,69973
1275,2025-12-07,P105,C679,North,60380,2,50923
1276,2024-12-10,P104,C661,West,34374,3,30194
1277,2024-12-18,P103,C395,South,76617,3,67862
1278,2024-03-04,P101,C508,South,166011,3,130470
1279,2025-08-04,P104,C221,West,12478,1,10497
1280,2025-07-26,P102,C478,East,45539,3,35122
1281,2024-03-30,P103,C690,West,24151,1,19586
1282,2024-05-28,P104,C251,North,11065,1,9564
1283,2025-04-26,P105,C602,South,30971,1,21821
1284,2024-11-22,P105,C638,North,88902,3,74944
1285,2024-12-15,P102,C261,North,46214,3,34281
1286,2025-12-12,P104,C343,South,12351,1,9174
1287,2024-11-12,P102,C233,North,13072,1,9737
1288,2025-04-12,P103,C203,East,100012,4,83838
1289,2024-07-29,P103,C284,North,123399,5,99693
1290,2024-04-14,P101,C383,West,219186,4,185419
1291,2025-03-22,P102,C221,East,30538,2,26964
1292,2025-03-25,P103,C340,South,101669,4,86100
1293,2025-08-05,P105,C253,South,120915,4,96337
1294,2025-09-02,P103,C365,South,26640,1,20505
1295,2024-02-01,P102,C499,North,13153,1,10155
1296,2024-09-09,P104,C503,East,10097,1,8193
1297,2024-03-18,P102,C283,East,14629,1,10370
1298,2024-12-13,P103,C413,West,50878,2,41505
1299,2024-09-22,P105,C211,West,119519,4,102528
1300,2024-03-23,P105,C345,East,61275,2,46706
1301,2025-01-10,P103,C331,North,49865,2,39488
1302,2024-06-23,P104,C411,North,35429,3,31375
1303,2024-11-18,P101,C474,North,219465,4,179479
1304,2024-12-07,P102,C406,South,73855,5,63102
1305,2025-11-16,P105,C447,South,150863,5,132958
1306,2024-04-30,P101,C507,West,108982,2,92477
1307,2025-03-18,P104,C351,North,47494,4,36395
1308,2024-11-10,P104,C629,North,46149,4,39945
1309,2025-05-10,P103,C305,South,100130,4,77630
1310,2025-08-27,P103,C409,East,125988,5,103270
1311,2025-09-01,P102,C446,North,31762,2,24625
1312,2025-05-10,P102,C280,North,76723,5,65862
1313,2024-01-20,P104,C634,North,22105,2,18988
1314,2025-09-23,P104,C222,South,58669,5,43317
1315,2024-11-11,P105,C232,West,59618,2,44091
1316,2025-01-20,P101,C229,North,108191,2,76134
1317,2025-08-27,P102,C541,West,28993,2,21559
1318,2024-02-10,P101,C440,East,55625,1,49223
1319,2024-08-17,P103,C470,North,125525,5,110166
1320,2024-11-20,P103,C390,West,75926,3,62459
1321,2025-09-08,P105,C601,West,60378,2,52295
1322,2024-11-27,P104,C674,South,46273,4,36984
1323,2025-07-01,P102,C364,West,59999,4,42051
1324,2024-07-27,P103,C482,West,26820,1,18861
1325,2025-09-26,P103,C217,West,76802,3,58028
1326,2024-08-25,P104,C308,East,59725,5,48276
1327,2025-02-09,P101,C245,West,56261,1,46352
1328,2025-10-25,P101,C370,West,111915,2,81353
1329,2024-08-19,P103,C423,West,26833,1,20957
1330,2024-07-07,P103,C548,South,100605,4,89051
1331,2024-11-15,P103,C283,West,49416,2,44458
1332,2024-08-01,P103,C258,East,49033,2,43544
1333,2025-09-21,P105,C383,West,60257,2,49620
1334,2024-01-18,P104,C444,South,34116,3,24494
1335,2025-03-30,P101,C590,East,276077,5,217616
1336,2025-01-03,P102,C366,West,30011,2,23726
1337,2024-07-06,P105,C635,East,148520,5,119742
1338,2025-05-04,P104,C323,East,58093,5,41004
1339,2024-11-06,P103,C575,South,98558,4,88185
1340,2025-03-26,P102,C253,South,14617,1,12789
1341,2025-10-02,P104,C422,East,59630,5,42310
1342,2024-07-09,P105,C241,South,150911,5,119036
1343,2024-11-05,P101,C389,West,275653,5,209639
1344,2024-09-11,P104,C226,North,25122,2,17768
1345,2025-08-18,P101,C300,East,166093,3,145673
1346,2025-11-28,P102,C563,East,28878,2,21326
1347,2024-10-10,P105,C226,South,149542,5,114165
1348,2025-12-31,P102,C532,East,45240,3,35948
1349,2025-07-29,P103,C318,East,73593,3,54196
1350,2025-07-12,P101,C549,North,55710,1,42512
1351,2024-07-18,P103,C271,North,49181,2,35496
1352,2024-04-24,P103,C325,North,123641,5,92133
1353,2025-08-22,P105,C221,West,31970,1,22651
1354,2025-05-19,P102,C521,West,44529,3,39561
1355,2024-03-05,P102,C305,West,43743,3,31494
1356,2025-09-10,P103,C625,West,73775,3,63589
1357,2025-01-26,P104,C209,South,37322,3,27118
1358,2025-06-24,P104,C678,West,46973,4,38116
1359,2025-03-06,P105,C233,South,150890,5,110646
1360,2025-04-09,P101,C596,West,221000,4,196102
1361,2025-10-06,P101,C297,South,55067,1,42794
1362,2024-05-24,P101,C558,West,165923,3,136514
1363,2025-12-01,P102,C441,West,73374,5,54014
1364,2024-02-20,P101,C420,West,163682,3,122591
1365,2025-03-09,P103,C335,North,99029,4,79992
1366,2024-10-29,P104,C329,South,22335,2,17215
1367,2024-12-20,P102,C559,South,45812,3,37624
1368,2024-10-15,P102,C588,West,13179,1,11593
1369,2025-05-02,P105,C637,North,88259,3,70038
1370,2025-08-25,P105,C326,West,59204,2,53063
1371,2025-05-22,P103,C598,South,98886,4,79184
1372,2025-07-19,P102,C253,South,44725,3,31728
1373,2024-03-05,P105,C688,South,151427,5,119099
1374,2024-05-10,P101,C334,South,219096,4,165236
1375,2025-03-25,P101,C278,East,220025,4,179226
1376,2024-02-21,P101,C654,North,110960,2,92462
1377,2025-05-08,P104,C524,South,49834,4,42397
1378,2024-05-06,P102,C588,West,45900,3,35939
1379,2024-05-21,P103,C453,East,49156,2,40474
1380,2025-11-27,P102,C262,West,76680,5,68727
1381,2024-10-04,P104,C699,East,37303,3,27575
1382,2024-12-20,P101,C411,West,273064,5,233551
1383,2024-02-07,P103,C558,North,125724,5,96266
1384,2024-02-15,P101,C268,West,53160,1,42061
1385,2024-10-04,P105,C328,South,119412,4,102748
1386,2024-07-03,P104,C522,East,25246,2,20017
1387,2025-03-21,P104,C541,North,10686,1,9330
1388,2024-01-29,P104,C538,South,34928,3,24936
1389,2025-06-08,P105,C365,East,148816,5,112279
1390,2025-11-20,P105,C393,East,118187,4,100483
1391,2025-03-20,P105,C567,North,149892,5,122683
1392,2025-11-23,P104,C273,North,12176,1,10903
1393,2025-05-16,P101,C679,East,111422,2,96170
1394,2024-09-30,P103,C664,North,26125,1,19290
1395,2024-07-29,P105,C684,West,90642,3,71164
1396,2024-02-26,P105,C348,West,28019,1,25133
1397,2025-07-16,P102,C364,West,14367,1,12212
1398,2024-06-13,P103,C565,South,24669,1,17859
1399,2025-11-11,P104,C490,South,13579,1,10002
1400,2024-05-23,P101,C677,North,219768,4,178057
1401,2024-10-12,P104,C258,West,12760,1,11020
1402,2025-12-07,P104,C609,South,37201,3,30285
1403,2024-01-31,P101,C397,South,165230,3,121784
1404,2025-01-20,P104,C496,South,48104,4,42800
1405,2024-09-22,P102,C466,West,60743,4,43870
1406,2024-08-01,P101,C439,North,163463,3,141292
1407,2024-12-28,P101,C412,North,274755,5,224244
1408,2025-03-13,P101,C445,East,111977,2,88391
1409,2024-02-28,P104,C367,West,25909,2,20217
1410,2024-03-09,P101,C655,West,273414,5,244789
1411,2024-02-25,P105,C631,East,120282,4,94558
1412,2025-08-06,P105,C445,East,149288,5,120129
1413,2025-01-29,P101,C236,East,164597,3,126421
1414,2025-04-02,P105,C329,East,91992,3,69519
1415,2024-09-27,P102,C483,North,74845,5,63364
1416,2025-03-02,P102,C346,South,16433,1,12144
1417,2025-09-09,P102,C639,East,43877,3,34746
1418,2024-07-08,P104,C239,South,25897,2,21315
1419,2024-10-19,P104,C500,South,48178,4,36632
1420,2024-06-07,P103,C211,North,100519,4,85116
1421,2024-08-18,P105,C285,North,89723,3,80027
1422,2025-11-03,P102,C634,East,13658,1,11130
1423,2025-07-18,P101,C553,West,166628,3,141082
1424,2024-06-10,P103,C581,West,26476,1,20467
1425,2024-09-17,P105,C277,South,151203,5,123204
1426,2025-08-09,P104,C602,South,49289,4,34959
1427,2025-04-12,P101,C285,East,109595,2,83696
1428,2025-05-30,P104,C530,North,25210,2,18360
1429,2024-02-08,P104,C292,East,24925,2,22160
1430,2025-04-29,P102,C520,West,45492,3,37544
1431,2024-11-29,P103,C386,West,73672,3,64971
1432,2025-01-11,P105,C306,South,149079,5,105423
1433,2025-11-17,P102,C245,North,76813,5,61630
1434,2025-09-30,P103,C669,East,24188,1,21371
1435,2025-10-03,P105,C515,East,90589,3,80921
1436,2024-08-07,P105,C469,West,91341,3,78546
1437,2024-12-30,P103,C572,North,74738,3,60504
1438,2025-01-23,P103,C476,South,50910,2,38574
1439,2025-01-01,P101,C615,South,274198,5,246724
1440,2024-03-17,P101,C393,West,53671,1,46331
1441,2025-08-30,P102,C635,South,60715,4,42655
1442,2025-07-14,P103,C350,West,24619,1,18162
1443,2025-11-11,P103,C204,South,98638,4,72862
1444,2025-10-09,P101,C412,North,165291,3,130664
1445,2024-09-14,P101,C337,East,54762,1,44954
1446,2024-08-25,P103,C517,East,76200,3,60651
1447,2024-06-14,P102,C384,North,16948,1,13167
1448,2025-06-03,P104,C404,West,47063,4,40532
1449,2024-07-07,P103,C252,West,101866,4,74206
1450,2024-08-30,P104,C508,North,11161,1,8979
1451,2025-02-26,P103,C614,North,123444,5,107202
1452,2025-01-10,P103,C677,North,124114,5,89903
1453,2024-05-16,P103,C478,East,101567,4,76925
1454,2024-06-28,P102,C547,West,74587,5,62837
1455,2024-08-29,P101,C258,South,220999,4,189417
1456,2025-11-17,P105,C252,East,118949,4,92146
1457,2024-09-08,P104,C310,North,25853,2,20874
1458,2024-02-18,P102,C575,South,15165,1,13308
1459,2025-06-24,P103,C223,North,23272,1,17500
1460,2025-02-27,P104,C667,West,48529,4,42111
1461,2024-05-12,P103,C514,East,50975,2,38360
1462,2024-02-04,P103,C468,North,75290,3,62825
1463,2025-09-21,P105,C630,East,118284,4,83799
1464,2025-01-21,P103,C323,North,51247,2,39044
1465,2024-03-27,P104,C371,East,23921,2,20186
1466,2025-06-29,P102,C419,West,16166,1,12919
1467,2025-09-22,P103,C603,North,74264,3,63476
1468,2024-05-18,P104,C347,South,35625,3,27711
1469,2025-12-09,P102,C446,West,76483,5,67367
1470,2024-11-30,P103,C331,North,99616,4,69738
1471,2025-12-18,P102,C337,South,43488,3,36222
1472,2024-02-13,P104,C293,West,24123,2,18674
1473,2025-07-06,P104,C328,South,46643,4,38783
1474,2025-08-06,P103,C540,North,49804,2,40371
1475,2025-08-25,P101,C420,North,163940,3,130563
1476,2024-12-21,P102,C361,South,73211,5,51792
1477,2024-04-29,P103,C682,North,76579,3,57957
1478,2025-02-20,P105,C584,North,148924,5,120636
1479,2025-10-01,P103,C588,South,48941,2,39965
1480,2024-05-18,P102,C371,West,76370,5,61571
1481,2024-07-25,P102,C688,West,73497,5,62091
1482,2024-10-05,P103,C483,West,126772,5,108154
1483,2024-12-29,P104,C497,South,13548,1,10396
1484,2024-04-11,P105,C311,West,120282,4,106427
1485,2024-05-26,P105,C367,North,58250,2,41679
1486,2025-09-11,P104,C377,North,12161,1,10447
1487,2024-02-27,P103,C654,West,125286,5,107909
1488,2024-10-12,P105,C636,East,89821,3,75001
1489,2024-09-01,P103,C615,North,124097,5,110347
1490,2024-10-13,P104,C369,West,60443,5,47170
1491,2025-06-06,P105,C638,East,119884,4,92336
1492,2024-10-11,P103,C527,East,74381,3,53955
1493,2025-03-15,P105,C558,East,150524,5,110231
1494,2024-06-09,P104,C404,West,59350,5,50129
1495,2024-07-31,P104,C383,North,12234,1,10255
1496,2025-03-22,P101,C334,West,218836,4,177132
1497,2025-09-24,P103,C442,West,124243,5,97767
1498,2024-11-10,P103,C686,South,99447,4,77359
1499,2024-07-02,P104,C543,East,37323,3,27447
1500,2024-06-09,P105,C246,West,31610,1,22620
1501,2025-03-06,P104,C633,East,46227,4,39135
1502,2024-07-19,P103,C263,South,75868,3,56585
1503,2024-12-24,P103,C592,North,48648,2,39066
1504,2025-02-18,P105,C495,West,121267,4,92930
1505,2024-02-06,P102,C402,West,73538,5,60297
1506,2025-01-23,P101,C346,South,56758,1,39765
1507,2024-03-25,P101,C305,South,108187,2,88658
1508,2025-12-06,P104,C346,South,10846,1,8145
1509,2024-04-05,P104,C595,West,23845,2,19101
1510,2025-11-01,P104,C284,North,24803,2,21679
1511,2025-05-30,P103,C279,North,74388,3,53606
1512,2025-02-10,P105,C370,South,59182,2,52818
1513,2025-05-14,P103,C584,South,74414,3,65122
1514,2025-02-20,P101,C433,North,165693,3,148078
1515,2025-02-17,P105,C600,South,119567,4,97350
1516,2024-07-01,P105,C422,West,118129,4,86834
1517,2024-08-10,P101,C518,South,274766,5,213761
1518,2025-09-02,P101,C281,West,108389,2,82840
1519,2025-07-07,P102,C553,North,74566,5,59626
1520,2025-08-14,P101,C367,West,165415,3,143567
1521,2024-08-08,P104,C218,North,25038,2,21741
1522,2024-09-25,P102,C267,South,14234,1,12004
1523,2024-08-20,P102,C654,East,44492,3,37847
1524,2024-05-13,P105,C294,East,149151,5,109711
1525,2025-10-11,P104,C277,East,35889,3,28500
1526,2024-09-30,P101,C605,North,54015,1,43304
1527,2025-01-24,P104,C511,West,13674,1,11354
1528,2025-12-14,P103,C600,East,50365,2,36551
1529,2025-04-02,P102,C657,East,76086,5,54433
1530,2025-02-23,P104,C514,North,11953,1,10089
1531,2025-11-07,P101,C429,South,53373,1,47861
1532,2024-08-14,P102,C260,West,61259,4,48372
1533,2024-10-16,P104,C297,East,61436,5,48879
1534,2025-02-26,P101,C355,South,218887,4,166627
1535,2024-04-15,P105,C596,East,58356,2,50404
